name,1st_srv_won.1,2nd_srv_won.1,srv_rtg.1,rtn_pct_won.1,rtn_rtg.1,gms_pct_won.1,tie_brk_won.1,set_pct_won.1,mtch_pct_won.1
Ivo Karlovic,0.8377,0.5378,386.4,0.2598,93.6,0.4994,0.4146,0.4615,0.4074
Rafael Nadal,0.7174,0.5943,354.1,0.4405,175.5,0.6223,0.6471,0.8519,0.9184
Roger Federer,0.8029,0.585,369.8,0.385,146.1,0.5768,0.6129,0.7703,0.8276
Novak Djokovic,0.7429,0.5667,353,0.42,159.1,0.5904,0.625,0.7644,0.8154
Bernard Tomic,0.7228,0.4978,347.9,0.3537,130.2,0.5034,0.8,,
Juan Martin Del Potro,0.7698,0.5304,355.4,0.3914,147.4,0.5651,0.6875,0.7419,0.7833
Alexander Zverev,0.7409,0.5234,336.9,0.4036,155.3,0.5511,0.7391,0.6961,0.7532
Dominic Thiem,0.7605,0.5306,343.2,0.3902,148.9,0.5521,0.5625,0.6719,0.7297
Kei Nishikori,0.7145,0.5489,332.7,0.3836,148.7,0.5297,0.7727,0.6242,0.6719
Kevin Anderson,0.7938,0.5436,367.4,0.3368,122.5,0.5283,0.6154,0.6175,0.7121
Martin Klizan,0.7014,0.5413,327.7,0.3773,152.3,0.526,0.7,0.6056,0.6897
Henri Laaksonen,0.7143,0.4747,325.1,0.4122,165.3,0.5387,,,
Marin Cilic,0.7949,0.5421,354.8,0.3823,141.3,0.5585,0.5349,0.6648,0.6875
Milos Raonic,0.8278,0.5702,374.6,0.3415,127.6,0.5393,0.6333,0.6612,0.6809
Fabio Fognini,0.6808,0.5073,315.1,0.4121,161.2,0.5328,0.4444,0.6053,0.6765
Taylor Harry Fritz,0.7362,0.496,331.9,0.3576,133.1,0.4929,0.7308,0.5278,0.55
Borna Coric,0.7369,0.5553,346.3,0.3842,151.4,0.5535,0.381,0.6209,0.6667
Karen Khachanov,0.7644,0.522,355.5,0.3739,144.5,0.5468,0.4762,0.6391,0.6667
John Isner,0.8108,0.5691,391,0.2939,101.2,0.5188,0.5342,0.5749,0.6071
Nick Kyrgios,0.7899,0.5384,372,0.3101,124.4,0.5214,0.5152,0.5926,0.6579
Daniil Medvedev,0.7408,0.5098,330.4,0.3718,141.9,0.5233,0.55,0.6012,0.6462
David Goffin,0.7084,0.5288,325.6,0.4101,163.8,0.5422,0.5,0.5948,0.6364
Kyle Edmund,0.7515,0.5379,343.9,0.3689,140.3,0.5315,0.56,0.6053,0.6316
Roberto Bautista Agut,0.7084,0.5229,330.7,0.3919,151.1,0.5315,0.3846,0.5746,0.6226
Hyeon Chung,0.7026,0.5149,323.1,0.4021,157.8,0.5308,0.5909,0.5965,0.617
Pablo Andujar,0.6273,0.5091,300.8,0.4218,161.9,0.5151,,,
Richard Gasquet,0.7179,0.5111,326.9,0.3874,151.7,0.5304,0.6296,0.5942,0.6034
Stefanos Tsitsipas,0.7504,0.5433,340.1,0.355,136.8,0.526,0.4444,0.5581,0.6029
Diego Sebastian Schwartzman,0.6778,0.4931,309.9,0.4189,162.1,0.5281,0.3333,0.5461,0.569
Gael Monfils,0.7173,0.4963,330.3,0.369,146.2,0.5197,0.5,0.5865,0.5918
Gilles Simon,0.703,0.5061,321.1,0.4079,156.6,0.5305,0.5676,0.5899,0.5893
Jared Donaldson,0.7309,0.524,315.8,0.3552,135.8,0.497,0.6364,0.4713,0.4242
Pablo Carreno Busta,0.6698,0.5239,326.8,0.3849,151.3,0.5168,0.48,0.5441,0.5849
Pablo Cuevas,0.7539,0.5523,338.6,0.378,144.8,0.5337,0.3333,0.5432,0.5758
Grigor Dimitrov,0.7444,0.4834,332.3,0.3548,130.1,0.5038,0.625,0.525,0.5581
Denis Shapovalov,0.7544,0.5182,333.9,0.3522,134.4,0.5097,0.4,0.5059,0.5556
Nicolas Jarry,0.7353,0.5311,343.9,0.3402,127.2,0.5007,0.5556,0.5333,0.551
Sam Querrey,0.82,0.5087,355.9,0.3399,131.3,0.5346,0.3529,0.56,0.5217
Lucas Pouille,0.747,0.5029,334.9,0.3462,129,0.5016,0.4483,0.4884,0.5435
Dennis Novak,0.6713,0.5,319,0.3775,157.4,0.5077,,,
Fernando Verdasco,0.7204,0.4885,327.5,0.3889,148.9,0.5181,0.32,0.5217,0.541
Pierre Hugues Herbert,0.7312,0.5056,340.1,0.3408,132,0.5,0.5,0.5126,0.5333
Tomas Berdych,0.7684,0.4868,342.6,0.3736,143.9,0.5357,0.3333,0.5424,0.5
Guido Pella,0.7104,0.5324,332.4,0.3808,141.5,0.506,0.4762,0.5118,0.5319
Frances Tiafoe,0.7183,0.5235,335.5,0.3468,130.5,0.4918,0.5714,0.5,0.5294
Steve Johnson,0.7477,0.532,346.2,0.3441,126.9,0.5131,0.56,0.5313,0.5294
Jason Kubler,0.6686,0.4019,289,0.4011,157,,,,
Alex De Minaur,0.6881,0.5326,322.9,0.3805,142.3,0.5012,0.5833,0.5118,0.5217
Feliciano Lopez,0.7675,0.4751,340.1,0.3293,116.1,0.4764,0.5909,0.451,0.5
Cameron Norrie,0.7125,0.4771,331.2,0.3835,148.5,0.5262,0.2778,0.5253,0.5135
Marton Fucsovics,0.707,0.5129,318.8,0.3954,148.4,0.5135,0.5263,0.5313,0.5102
Andreas Seppi,0.732,0.4957,324.9,0.3642,140,0.5051,0.5,0.5308,0.5106
Jeremy Chardy,0.7464,0.484,333.5,0.3455,126,0.4921,0.5909,0.475,0.5106
Joao Sousa,0.7235,0.5044,317.2,0.3808,137.7,0.5004,0.5455,0.4825,0.5094
Aljaz Bedene,0.7187,0.4901,325.2,0.3772,135.9,0.4934,0.5,0.49,0.5
Dudi Sela,0.6658,0.447,289.2,0.4038,156,0.4742,,,
Dusan Lajovic,0.6862,0.5315,331.2,0.3712,143.9,0.5063,0.4737,0.5227,0.5
David Ferrer,0.6438,0.4894,297.3,0.3919,144.4,0.47,0.5833,0.4058,0.3333
John Millman,0.6945,0.5224,325,0.3861,146.8,0.5072,0.4211,0.49,0.5
Malek Jaziri,0.7128,0.4868,310.7,0.3632,140.2,0.4808,0.4667,0.4732,0.5
Benoit Paire,0.7609,0.443,306.7,0.3828,146.4,0.4914,0.5714,0.4966,0.4909
Matteo Berrettini,0.7501,0.5265,340.9,0.3436,119.9,0.492,0.5294,0.4851,0.5
Ernesto Escobedo,0.7591,0.5714,338.1,0.2675,96.1,0.4572,,,
Philipp Kohlschreiber,0.6998,0.5623,336.1,0.3589,135.8,0.5012,0.44,0.5,0.5
Ryan Harrison,0.7446,0.5284,341,0.3414,127.7,0.5033,0.3793,0.4811,0.5
Bjorn Fratangelo,0.6964,0.4743,300.9,0.3924,155.1,,,,
Thiago Monteiro,0.7288,0.5259,338.1,0.3449,143,0.508,0.5,0.5,0.5
Mikhail Kukushkin,0.661,0.5247,325.5,0.3744,139.4,0.4903,0.5714,0.4867,0.4884
Jiri Vesely,0.716,0.4937,340.9,0.3461,129.3,0.5034,0.4737,0.5056,0.4706
Gerald Melzer,0.6973,0.4772,300.9,0.4049,154,0.4874,,,
Marius Copil,0.7789,0.5419,352.4,0.3335,123,0.5065,0.56,0.5052,0.475
Jan Lennard Struff,0.768,0.4924,329.6,0.342,136.8,0.4945,0.5172,0.4846,0.4792
Thomas Fabbiano,0.6267,0.5031,303.1,0.3913,152.7,0.4799,,0.4286,0.4
Leonardo Mayer,0.7367,0.5281,334.7,0.343,130.4,0.5026,0.5,0.5,0.4681
Yoshihito Nishioka,0.6191,0.5106,302.2,0.3847,144.2,0.4646,,0.4643,0.4762
Damir Dzumhur,0.6498,0.4852,301.4,0.3927,152.7,0.4831,0.5238,0.482,0.4464
Jo Wilfried Tsonga,0.7872,0.5605,366.4,0.2944,98.4,0.4987,0.5385,,
Matthew Ebden,0.7256,0.4894,322,0.355,135.5,0.4899,0.5,0.4673,0.4634
Filip Krajinovic,0.6755,0.5128,319.9,0.3799,141.4,0.4986,0.3636,0.4865,0.4516
Andrey Rublev,0.7275,0.4441,317.1,0.3943,147.6,0.5011,0.2778,0.4396,0.4474
Alexandr Dolgopolov,0.7291,0.4778,314.1,0.3931,152.1,0.4981,,,
Tennys Sandgren,0.7376,0.4987,336.4,0.3423,131.9,0.4951,0.3913,0.4516,0.4444
Andy Murray,0.7173,0.4726,322.4,0.394,150.7,0.5255,,,
Yuki Bhambri,0.6121,0.4684,289.2,0.3888,151.4,0.4524,,,
Maximilian Marterer,0.6981,0.5509,335.3,0.3337,122.5,0.4784,0.4,0.434,0.439
Robin Haase,0.7226,0.4869,323.4,0.3505,136.1,0.4898,0.5152,0.4615,0.4364
Marco Trungelliti,0.6676,0.5094,315.4,0.4024,149,,,,
