name,1st_srv_won.1,2nd_srv_won.1,srv_rtg.1,rtn_pct_won.1,rtn_rtg.1,gms_pct_won.1,tie_brk_won.1,set_pct_won.1,mtch_pct_won.1
Marcos Baghdatis,0.7417,0.4884,323.8,0.3841,141.2,0.5035,0.4667,0.4714,0.4286
Jozef Kovalik,0.7225,0.4935,327.2,0.3819,144.1,0.5196,,,
Denis Istomin,0.7221,0.5124,343.8,0.351,127.9,0.5035,0.4074,0.4578,0.4242
Nicolas Kicker,0.6663,0.4796,305.6,0.3817,150,0.481,,0.4314,0.4
Mikael Ymer,0.6828,0.5391,321.5,0.3951,144.2,,,,
Gilles Muller,0.7865,0.4702,347.1,0.3117,105.5,0.4744,0.4737,0.3896,0.3214
Lukas Rosol,0.7057,0.5211,349.6,0.355,132.3,,,,
Ernests Gulbis,0.7521,0.5121,340.9,0.3404,131.2,0.5032,,,
Yannick Maden,0.6264,0.5198,314.2,0.3892,146.4,0.4822,,,
Ramkumar Ramanathan,0.7207,0.5023,325.7,0.361,127.5,0.5032,,,
Radu Albot,0.6542,0.497,307.5,0.3771,140.9,0.4701,0.4167,0.375,0.3429
Thanasi Kokkinakis,0.7691,0.4907,347,0.3128,117,0.4887,,,
Marcel Granollers,0.6968,0.5433,320.4,0.3511,142.3,0.4976,,,
Noah Rubin,0.6654,0.5479,326.4,0.3003,124,0.4542,,,
Stefano Travaglia,0.7614,0.486,328.9,0.3337,125.2,0.4964,,,
Casper Ruud,0.6874,0.4904,325.9,0.3568,139,0.4938,,,
Michael Mmoh,0.7046,0.4505,311.1,0.3344,141.4,0.4768,,,
Simone Bolelli,0.6569,0.5027,332.7,0.3778,136.9,0.4935,,,
Jurgen Zopp,0.7392,0.4989,334.4,0.3483,126.9,0.4931,,,
Ilya Ivashka,0.7395,0.4469,310,0.3734,139.4,0.4744,,,0.381
Felix Auger Aliassime,0.6838,0.502,319,0.3775,139.2,0.4811,,,
Mackenzie Mcdonald,0.7075,0.5115,331.4,0.3431,132.8,0.4884,,0.4697,0.4091
Marco Cecchinato,0.6943,0.4915,328.4,0.3503,130.4,0.4878,0.5417,0.4711,0.5
Horacio Zeballos,0.718,0.5238,340.6,0.32,128,0.4874,0.5,0.4559,0.44
Rogerio Dutra Silva,0.6862,0.4828,310.5,0.3621,138.9,0.4731,,,
Federico Delbonis,0.6846,0.5063,319.7,0.369,138,0.4836,0.4,0.4054,0.3793
Stan Wawrinka,0.7328,0.5355,337.2,0.3381,116.5,0.4868,0.619,0.5165,0.5
Peter Gojowczyk,0.7604,0.4923,322.8,0.3553,129.7,0.4866,0.4286,0.4609,0.4792
Adrian Mannarino,0.6926,0.5092,321.7,0.3549,137.9,0.4743,0.64,0.4694,0.4643
Denis Kudla,0.7439,0.5089,326.5,0.3429,126.3,0.4865,0.3846,0.4531,0.44
Hubert Hurkacz,0.6966,0.5152,329.1,0.3446,123.8,0.4835,,,
Jaume Munar,0.6735,0.4866,314.4,0.3751,137.6,0.4714,0.6923,0.4423,
Lukas Lacko,0.7363,0.4941,321.3,0.3464,129.6,0.4827,0.4,0.4348,0.4074
Roberto Carballes Baena,0.7105,0.49,317.4,0.3627,137,0.4796,0.6111,0.4545,0.4516
Mischa Zverev,0.7212,0.4944,320.8,0.368,132.6,0.4823,0.4118,0.4492,0.3958
Taro Daniel,0.6692,0.503,308.1,0.3666,136.8,0.4668,0.8125,0.4725,0.4857
Nikoloz Basilashvili,0.6835,0.5102,312.6,0.3625,134.2,0.4809,0.6364,0.5,0.5088
Guillermo Garcia Lopez,0.712,0.4906,312.7,0.3661,133.9,0.4798,0.5357,0.4343,0.4103
Bradley Klahn,0.7587,0.5395,336.4,0.2893,114,0.4723,0.5,,
Jack Sock,0.7203,0.503,329.9,0.341,122.6,0.4757,0.5333,0.4337,0.3
Tim Smyczek,0.6738,0.488,321.1,0.3649,132.9,0.4736,0.4,,
Guido Andreozzi,0.6892,0.4349,307.7,0.3462,132.6,0.4496,,,
Andreas Haider Maurer,0.6384,0.3857,262.5,0.3146,132.5,,,,
Yannick Hanfmann,0.722,0.4726,336.7,0.3388,106,0.47,,,
Ricardas Berankis,0.7095,0.4982,320.5,0.3383,127.9,0.4701,0.3333,0.381,0.4
Matthias Bachinger,0.694,0.4341,317.4,0.3625,127.6,0.4698,,,
Vasek Pospisil,0.7395,0.4861,334.2,0.3108,118.4,0.4684,0.5,0.4,0.3478
Julien Benneteau,0.7128,0.4542,315.1,0.363,129.5,0.4672,0.6364,0.4561,
Yibing Wu,0.6949,0.4939,311.7,0.3651,130.2,,,,
Paolo Lorenzi,0.7117,0.46,314.7,0.3364,124.3,0.4667,0.4167,0.3571,0.2857
Nicolas Mahut,0.7117,0.495,318.9,0.3342,127.1,0.4663,,,
Albert Ramos,0.6963,0.5007,315.6,0.3469,129.7,0.4643,0.6667,0.4419,0.4286
Laslo Djere,0.7197,0.5,327.3,0.3533,120.7,0.4661,0.4583,0.3974,0.4138
Sergiy Stakhovsky,0.7065,0.4909,330.7,0.344,117.9,0.4637,,,
Mirza Basic,0.6993,0.5203,320.7,0.3254,123.1,0.4624,0.5,0.3846,0.4063
Mikhail Youzhny,0.6762,0.5025,308.5,0.3571,129.3,0.4575,0.3636,0.3492,0.28
Yuichi Sugita,0.7103,0.4853,314,0.3488,125.5,0.4624,0.3529,0.3556,0.25
Corentin Moutet,0.6354,0.4403,286.7,0.3541,128.5,0.4087,,,
Ruben Bemelmans,0.6872,0.485,322.7,0.3396,124.1,0.4618,0.3846,0.3594,0.2727
Lorenzo Sonego,0.7268,0.4976,328.7,0.3114,114.3,0.4609,,,
Elias Ymer,0.6985,0.4654,313,0.3641,126.7,0.4581,,,
Gastao Elias,0.7066,0.4406,289.2,0.3588,127.5,0.4421,,,
Jordan Thompson,0.6268,0.4132,290.1,0.356,126.8,0.4063,,,
Evgeny Donskoy,0.6709,0.5096,322.4,0.3418,121.7,0.452,,0.4,0.3889
Florian Mayer,0.6546,0.482,304.1,0.3385,125.3,0.4233,,,
James Duckworth,0.7291,0.4559,297.2,0.3142,124.8,0.4213,,,
Donald Young,0.6368,0.5012,293.8,0.3302,121.3,0.4024,,,
Viktor Troicki,0.7171,0.4222,320.8,0.3414,121.2,0.4562,0.3571,,
Blaz Kavcic,0.6443,0.5035,299.6,0.3313,120.7,0.412,,,
Alex Bolt,0.7118,0.4855,319.7,0.3014,107,0.4357,,,
Peter Polansky,0.6917,0.501,315.8,0.3074,104.1,0.4197,0.2727,,
Victor Estrella,0.617,0.4262,277.7,0.3112,112,0.3571,,,
Adrian Menendez Maceiras,0.6506,0.4595,312.6,,,,,,
Thomaz Bellucci,0.6743,0.4695,301.6,,,,,,
