name,1st_srv_won.1,2nd_srv_won.1,srv_rtg.1,ret_pct_won.1,rtn_rtg.1,gms_pct_won.1,tie_brk_won.1,set_pct_won.1,mtch_pct_won.1
Jiri Vesely,0.7206,0.5503,345.6,0.3474,127.4,0.509,0.4483,0.513,0.4884
Martin Klizan,0.6893,0.4836,307.9,0.3921,154.2,0.4986,0.4,0.5135,0.4828
Adrian Mannarino,0.7039,0.486,315.5,0.3766,143.8,0.4969,0.3182,0.4632,0.4815
Tobias Kamke,0.6508,0.4927,289,0.395,158.6,0.4906,,,
Borna Coric,0.7064,0.5275,328.2,0.3606,131.5,0.4895,0.5217,0.4701,0.4783
John Millman,0.6674,0.5371,316.9,0.3728,147.5,0.5033,0.2941,0.4352,0.475
Matthew Barton,0.8122,0.4979,362,0.2799,101.6,,,,
Donald Young,0.7098,0.5041,317,0.3724,136.9,0.4929,0.4615,0.4526,0.4615
Mischa Zverev,0.7243,0.5181,333.3,0.38,149.1,0.5244,0.3125,0.5,0.4615
Gastao Elias,0.7093,0.5294,311.9,0.3658,144.3,0.4934,0.5,0.4615,0.4615
Marcel Granollers,0.6935,0.5161,324.2,0.3756,141.7,0.494,0.5417,0.4865,0.4565
Yoshihito Nishioka,0.6779,0.5455,321.5,0.3694,144.6,0.4895,,0.4545,0.4545
Dusan Lajovic,0.7049,0.5473,335.6,0.3371,124.3,0.4884,0.4737,0.466,0.4524
Kevin Anderson,0.7715,0.525,351.4,0.3238,116.2,0.4947,0.5,0.4839,0.4474
Jeremy Chardy,0.748,0.4847,327.1,0.3753,142,0.5093,0.2778,0.4694,0.4474
Pruchya Isarow,0.7641,0.5574,329.2,0.3804,138.9,,,,
Andreas Seppi,0.7174,0.509,321.8,0.3597,135.4,0.4894,0.4706,0.4348,0.4444
Jurgen Melzer,0.6929,0.4354,311.8,0.4093,154.7,,,,
Leonardo Mayer,0.7336,0.5075,336.3,0.3535,131.1,0.5037,0.3333,0.4714,0.4444
Emilio Gomez,0.7448,0.4859,352.2,,,,,,
Stephane Robert,0.709,0.4638,299.2,0.392,146.3,0.4759,0.3077,0.4074,0.4375
Igor Sijsling,0.6939,0.474,302.4,0.3931,153.8,0.494,,,
Benoit Paire,0.7215,0.4619,302,0.3789,143,0.4695,0.4348,0.4315,0.4182
Guido Pella,0.69,0.5339,343.2,0.3638,133.3,0.5032,0.32,0.4505,0.4103
