name,1st_srv_won.1,2nd_srv_won.1,srv_rtg.1,rtn_pct_won.1,rtn_rtg.1,gms_pct_won.1,tie_brk_won.1,set_pct_won.1,mtch_pct_won.1
Carlos Berlocq,0.6548,0.4962,304.6,0.3756,143.7,0.4638,,0.4111,0.3939
Albert Ramos,0.6816,0.5296,324.7,0.3773,142.2,0.5066,0.4412,0.4972,0.5231
Martin Klizan,0.6684,0.4943,320,0.3638,143.5,0.4993,0.4,0.4714,0.4074
Feliciano Lopez,0.7687,0.5024,343.9,0.3335,122.4,0.4996,0.5161,0.5078,0.5208
Matthew Ebden,0.7077,0.467,320.5,0.3902,142.8,0.5152,,,
Jordan Thompson,0.6888,0.4713,315,0.3773,142.7,0.4889,0.4,0.4535,0.4333
Elias Ymer,0.7068,0.4688,320.5,0.3808,142.5,0.5019,,,
Aljaz Bedene,0.7511,0.5241,332.4,0.3641,135.7,0.507,0.375,0.4946,0.5135
Kenny De Schepper,0.6958,0.4599,338.2,0.3923,142.4,0.5194,,,
Kyle Edmund,0.7375,0.5324,333.5,0.364,138.2,0.522,0.4643,0.538,0.5
Joao Sousa,0.7148,0.496,316.9,0.3742,141.7,0.4969,0.4583,0.4868,0.4386
Andreas Seppi,0.7334,0.497,324.5,0.3674,141.3,0.4938,0.4348,0.4639,0.5
Denis Shapovalov,0.7461,0.5609,339.5,0.3328,118.1,0.4899,0.5882,0.4762,0.5
Nicolas Kicker,0.6619,0.5353,315.5,0.3624,141.2,0.4787,,0.4286,0.4348
Simone Bolelli,0.6217,0.5714,341.4,,,,,,
Taylor Harry Fritz,0.7327,0.5335,327.5,0.3596,134.6,0.5149,0.3333,0.4925,0.5
Thomaz Bellucci,0.6812,0.5232,309.2,0.3711,140.7,0.4752,0.4091,0.4222,0.4118
Leonardo Mayer,0.7176,0.5615,339.5,0.3602,136.6,0.5051,0.6,,
Jan Lennard Struff,0.7753,0.4976,331.7,0.3531,129.8,0.5,0.375,0.4714,0.4912
Laslo Djere,0.6573,0.5569,316.1,0.377,140.1,0.4865,,,
Jared Donaldson,0.7468,0.5031,320.8,0.3692,137.3,0.4964,0.5,0.4821,0.4884
Pablo Cuevas,0.7258,0.505,323.2,0.3633,137.2,0.4945,0.4286,0.4757,0.4878
John Millman,0.6531,0.5014,306.1,0.3705,139.5,0.4549,,,
Tommy Haas,0.6867,0.5385,333.1,0.319,109.8,0.4563,0.6,0.3462,0.3
Robin Haase,0.7376,0.5021,326.6,0.3719,139.4,0.5047,0.4167,0.5065,0.4828
Yannick Hanfmann,0.6836,0.5014,326.2,0.3673,138.9,0.5016,,,
Julien Benneteau,0.7465,0.4797,325.1,0.3569,133.3,0.5023,0.4,0.4925,0.4815
Yen Hsun Lu,0.7267,0.5292,319,0.3702,138.8,0.506,0.2727,0.4355,0.3913
Nicolas Almagro,0.7439,0.5014,315.1,0.365,138.5,0.502,0.5,,0.4545
Henri Laaksonen,0.7375,0.4811,324.4,0.3668,134.2,0.4976,0.3333,0.4603,0.4783
Jiri Vesely,0.701,0.4851,321.7,0.3541,138.5,0.49,0.3158,0.4538,0.48
Horacio Zeballos,0.7189,0.5452,334.2,0.3241,123,0.4866,0.5,0.4563,0.4762
Guido Pella,0.6849,0.5085,329,0.3726,137,0.495,0.5455,0.4891,0.4706
Bjorn Fratangelo,0.6767,0.5085,310,0.3518,138.4,0.4668,,0.4314,
Karen Khachanov,0.7356,0.5012,326.7,0.3613,134.3,0.4969,0.4595,0.4621,0.463
Gerald Melzer,0.667,0.5227,324.9,0.3492,138.1,0.485,0.4545,,
Lukas Rosol,0.773,0.5347,350.4,0.3176,121.4,0.4941,,,
Borna Coric,0.7109,0.5325,341.5,0.3474,130.1,0.5017,0.48,0.4831,0.4565
Jerzy Janowicz,0.7761,0.5222,350.4,0.2819,99,0.4816,,,
Cem Ilkel,0.6965,0.4683,321.1,0.3627,136.5,,,,
Dusan Lajovic,0.6811,0.5407,335.8,0.347,136.4,0.503,0.2273,0.4466,0.45
Daniil Medvedev,0.7133,0.4858,325.9,0.3578,136.4,0.4854,0.5882,0.4741,0.4783
Reilly Opelka,0.751,0.5369,349,0.2824,94.8,0.4656,,,
Mikhail Youzhny,0.673,0.483,311.8,0.3582,135.7,0.4708,,0.4304,0.3333
Ricardas Berankis,0.6519,0.5204,296.6,0.3591,135.6,0.4585,,,
Samuel Groth,0.7882,0.5,337.7,0.2764,107.4,,,,
Sebastian Ofner,0.7187,0.4968,330.7,0.3624,127.8,0.512,,,
Malek Jaziri,0.7223,0.4809,307.7,0.362,134.9,0.4755,0.4667,0.4433,0.4054
Mischa Zverev,0.7151,0.4969,336.3,0.3469,133.9,0.4925,0.4074,0.4847,0.4839
Ernesto Escobedo,0.7029,0.541,324.6,0.3275,114.5,0.4642,0.4667,0.3906,0.375
Thomas Fabbiano,0.6414,0.474,289.5,0.3777,133.7,0.4275,,,
Ruben Bemelmans,0.7023,0.547,335.5,0.3405,117.4,0.4907,,,
Illya Marchenko,0.7513,0.4615,296.2,0.3634,133.5,0.4811,,,
Sergiy Stakhovsky,0.75,0.5143,341.9,0.3238,117.9,0.4958,,,
Gastao Elias,0.7346,0.489,309.8,0.3731,133.2,0.4641,,0.4118,
Donald Young,0.6863,0.4963,316.7,0.3422,133,0.4757,0.7778,0.4867,0.5217
Tommy Paul,0.704,0.539,334.6,0.3568,126.9,0.5,,,
Viktor Troicki,0.7294,0.4659,320.4,0.3666,132.8,0.4722,0.6087,0.4545,0.4615
Janko Tipsarevic,0.7188,0.4774,303.3,0.3586,132.4,0.4612,0.4545,,
Ernests Gulbis,0.7726,0.4726,334,0.3519,123.8,0.4826,,,
Frances Tiafoe,0.7091,0.5251,318.9,0.3522,132.1,0.4856,0.1538,0.3824,0.2917
Rogerio Dutra Silva,0.6727,0.4915,302.8,0.3762,132,0.454,0.6154,0.3659,0.3226
Wishaya Trongcharoenchaikul,0.7578,0.5273,332.7,0.3491,127.6,0.4979,,,
Andrey Kuznetsov,0.721,0.5,315.6,0.3583,131.9,0.4796,0.3684,0.4149,0.3889
Guillermo Garcia Lopez,0.6908,0.4805,297,0.3572,131.8,0.4615,,,0.25
Casper Ruud,0.6781,0.5134,333.3,0.3525,131,0.4946,,,
Thanasi Kokkinakis,0.7563,0.4787,338.5,0.3032,119.1,0.4639,0.7273,,
Taro Daniel,0.6421,0.4614,305.2,0.3516,131.2,0.4378,,,
Stefanos Tsitsipas,0.766,0.467,323.8,0.3126,113.5,0.448,,,
Alessandro Giannessi,0.6532,0.4967,321,0.3637,131.2,0.4711,,,
Jeremy Chardy,0.7301,0.4946,334.6,0.3566,130.7,0.49,0.5,0.4526,0.4615
Santiago Giraldo,0.7003,0.449,309.1,0.3451,130.5,0.4608,,0.3654,
Ryan Harrison,0.7216,0.4921,326.2,0.3468,130.4,0.4899,0.3,0.4466,0.4524
Lukas Lacko,0.7262,0.5378,332.1,0.3352,123,0.484,,,
Paolo Lorenzi,0.696,0.5252,320.1,0.3562,130,0.4803,0.4848,0.454,0.4167
Radu Albot,0.6629,0.5141,311.2,0.3604,129.6,0.4689,0.5,0.4028,0.3462
Vasek Pospisil,0.7591,0.5026,330.5,0.3448,123.3,0.4735,0.6667,0.4423,0.381
Marius Copil,0.7541,0.5147,335.5,0.3179,113.9,0.4679,0.5,0.3833,0.3478
Thiago Monteiro,0.6927,0.4961,320,0.3367,127.3,0.4635,0.619,0.4112,0.3514
Tim Smyczek,0.6745,0.472,280.7,0.3508,124.3,,,,
Norbert Gombos,0.7178,0.4123,317.6,0.3599,123.7,0.4606,,,
Nicolas Mahut,0.7127,0.5194,330.4,0.3415,119.2,0.4771,0.6429,0.4318,0.4412
Florian Mayer,0.6975,0.5067,329.5,0.3231,123.6,0.4728,0.0833,0.3492,0.3704
Stefan Kozlov,0.6675,0.452,288.8,0.3425,123.2,0.4083,,,
Quentin Halys,0.7483,0.5,332.6,0.3115,121.9,0.4578,,,
Marcel Granollers,0.6618,0.4913,305.9,0.3523,122.7,0.4297,,0.2778,0.1905
Nicolas Jarry,0.7025,0.4928,332.3,,,,,,
Jozef Kovalik,0.6427,0.5257,318.6,0.3298,120.1,0.4313,,,
Bernard Tomic,0.6991,0.5059,331.5,0.3179,118.9,0.4667,0.3077,0.3611,0.3448
Marco Chiudinelli,0.7043,0.4894,311.3,0.3462,119.8,,,,
Tennys Sandgren,0.7159,0.4311,315.7,0.3185,119.3,,,,
Facundo Bagnis,0.686,0.4646,315.9,0.3309,118.1,0.438,,,
Victor Estrella,0.69,0.5018,324.7,0.3194,114.7,0.4578,0.5333,0.4314,
Pierre Hugues Herbert,0.7404,0.4953,328,0.3163,104.9,0.4516,0.5294,0.3896,0.3333
Dustin Brown,0.7111,0.4979,312.9,0.3131,117.5,0.4516,0.5,0.3784,0.3333
Franco Skugor,0.6961,0.5109,327.7,0.3289,115.7,0.4522,,,
Alex De Minaur,0.6303,0.4602,284.1,0.3497,117.3,,,,
Konstantin Kravchuk,0.7381,0.4315,317.1,0.2976,113.6,0.4261,,,
Maximilian Marterer,0.6641,0.5208,323.4,0.3087,107.1,0.4239,,,
Stephane Robert,0.6516,0.4306,258,0.3281,114,0.3482,,,
Arthur De Greef,0.6612,0.4688,310,0.331,112.4,,,,
Evgeny Donskoy,0.7169,0.512,317,0.3261,106.9,0.4398,0.3333,,
Paul Henri Mathieu,0.6983,0.4667,301.4,0.3218,106.1,0.4219,,,
Peter Polansky,0.6656,0.4676,305.5,,,,,,
